title,avg_reviews,complete_link,publisher
Python para Principiantes: 2 Libros en 1: Programación de Python para principiantes + Libro de trabajo de Python (Spanish Edition),4.4,https://www.amazon.com/Python-para-Principiantes-Programaci%C3%B3n-principiantes/dp/B087SG2H2X/ref=sr_1_53?keywords=python&qid=1671164641&sr=8-53,"Independently published (May 2, 2020)"
Quantum Machine Learning and Optimisation in Finance: On the Road to Quantum Advantage,4.9,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0112114AAL7F70PN39A&qualifier=1671164641&id=635941087458057&widgetName=sp_mtf&url=%2FQuantum-Machine-Learning-Optimisation-Finance%2Fdp%2F1801813574%2Fref%3Dsr_1_30_sspa%3Fcrid%3D27NSKOKLZAT5L%26keywords%3Dmachine%2Blearning%26qid%3D1671164641%26sprefix%3Ddeep%2Blearning%252Caps%252C627%26sr%3D8-30-spons%26psc%3D1,"Packt Publishing (October 31, 2022)"
Python Tricks: A Buffet of Awesome Python Features,4.7,https://www.amazon.com/Python-Tricks-Buffet-Awesome-Features/dp/1775093301/ref=sr_1_56?keywords=python&qid=1671164641&sr=8-56,"Dan Bader; 1st edition (October 25, 2017)"
Think Bayes: Bayesian Statistics in Python (O'reilly),4.5,https://www.amazon.com/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55,"O'Reilly Media; 2nd edition (June 8, 2021)"
Data Science for Supply Chain Forecasting,4.6,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09610732VGIZWA3ZD5ZK&qualifier=1671164641&id=1501437279550579&widgetName=sp_btf&url=%2FData-Science-Supply-Chain-Forecasting%2Fdp%2F3110671107%2Fref%3Dsr_1_60_sspa%3Fcrid%3D1IWIG31DNPO6P%26keywords%3Ddata%2Bscience%26qid%3D1671164641%26sprefix%3Ddata%2Bscience%252Caps%252C586%26sr%3D8-60-spons%26psc%3D1,"De Gruyter; 2nd edition (March 22, 2021)"
"Fluent Python: Clear, Concise, and Effective Programming",4.7,https://www.amazon.com/Fluent-Python-Concise-Effective-Programming/dp/1492056359/ref=sr_1_51?keywords=python&qid=1671164641&sr=8-51,"O'Reilly Media; 2nd edition (May 10, 2022)"
Python Programming For Beginners: The Ultimate Crash Course to Learn Python Coding Quickly and Easily | Step-by-Step Guide With Hands-on Exercises & Beginners Projects,4.9,https://www.amazon.com/Python-Programming-Beginners-Step-Hands/dp/B0BFTYFPBY/ref=sr_1_46?keywords=python&qid=1671164641&sr=8-46,"Independently published (September 24, 2022)"
Practical Linear Algebra for Data Science: From Core Concepts to Applications Using Python,4.1,https://www.amazon.com/Practical-Linear-Algebra-Data-Science/dp/1098120612/ref=sr_1_50?keywords=python&qid=1671164641&sr=8-50,"O'Reilly Media; 1st edition (October 18, 2022)"
Coding Games in Python (Computer Coding for Kids),4.5,https://www.amazon.com/Coding-Games-Python-DK/dp/1465473610/ref=sr_1_45?keywords=python&qid=1671164641&sr=8-45,"DK Children; Illustrated edition (July 3, 2018)"
Think Python: How to Think Like a Computer Scientist,4.6,https://www.amazon.com/Think-Python-Like-Computer-Scientist/dp/1491939362/ref=sr_1_43?keywords=python&qid=1671164641&sr=8-43,"O'Reilly Media; 2nd edition (January 26, 2016)"
Python for Algorithmic Trading: From Idea to Cloud Deployment,4.3,https://www.amazon.com/Python-Algorithmic-Trading-Cloud-Deployment/dp/149205335X/ref=sr_1_40?keywords=python&qid=1671164641&sr=8-40,"O'Reilly Media; 1st edition (December 8, 2020)"
Python for Data Science: A Hands-On Introduction,4.6,https://www.amazon.com/Python-Data-Science-Example-Vasiliev/dp/1718502206/ref=sr_1_38?keywords=python&qid=1671164641&sr=8-38,"No Starch Press (August 2, 2022)"
Practical Deep Learning: A Python-Based Introduction,4.7,https://www.amazon.com/Deep-Learning-Beginners-Python-Based-Introduction/dp/1718500742/ref=sr_1_41?keywords=python&qid=1671164641&sr=8-41,"No Starch Press (February 23, 2021)"
Murach's Python for Data Analysis (Training & Reference),4.4,https://www.amazon.com/Murachs-Python-Analysis-Scott-McCoy/dp/1943872767/ref=sr_1_108?keywords=data+analysis&qid=1671164651&sr=8-108,"Mike Murach & Associates Inc (August 30, 2021)"
Robust Python: Write Clean and Maintainable Code,4.5,https://www.amazon.com/Robust-Python-Write-Clean-Maintainable/dp/1098100662/ref=sr_1_37?keywords=python&qid=1671164641&sr=8-37,"O'Reilly Media; 1st edition (August 3, 2021)"
"EXCEL DATA ANALYSIS: THE ULTIMATE PRACTICAL GUIDE TO MASTERING DATA ANALYSIS USING EXCEL DATA & STATISTICAL TABLES, PIVOT TABLES, AND FINANCIAL ANALYSIS TOOLS",4.6,https://www.amazon.com/EXCEL-DATA-ANALYSIS-PRACTICAL-STATISTICAL/dp/B09T2X7NWT/ref=sr_1_107?keywords=data+analysis&qid=1671164651&sr=8-107,"Independently published (February 21, 2022)"
Learning Spark: Lightning-Fast Data Analytics,4.7,https://www.amazon.com/Learning-Spark-Jules-Damji/dp/1492050040/ref=sr_1_106?keywords=data+analysis&qid=1671164651&sr=8-106,"O'Reilly Media; 2nd edition (August 25, 2020)"
Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,4.4,https://www.amazon.com/Applied-Text-Analysis-Python-Language-Aware/dp/1491963042/ref=sr_1_105?keywords=data+analysis&qid=1671164651&sr=8-105,"O'Reilly Media; 1st edition (July 17, 2018)"
"Time Series Analysis with Python Cookbook: Practical recipes for exploratory data analysis, data preparation, forecasting, and model evaluation",4.8,https://www.amazon.com/Time-Analysis-Python-Cookbook-exploratory/dp/1801075549/ref=sr_1_102?keywords=data+analysis&qid=1671164651&sr=8-102,"Packt Publishing (June 30, 2022)"
"Practical SQL, 2nd Edition: A Beginner's Guide to Storytelling with Data",4.8,https://www.amazon.com/Practical-SQL-2nd-Beginners-Storytelling/dp/1718501064/ref=sr_1_104?keywords=data+analysis&qid=1671164651&sr=8-104,"No Starch Press; 2nd edition (January 25, 2022)"
Dyadic Data Analysis (Methodology in the Social Sciences),4.4,https://www.amazon.com/Dyadic-Analysis-Methodology-Social-Sciences/dp/1462546137/ref=sr_1_103?keywords=data+analysis&qid=1671164651&sr=8-103,"The Guilford Press; 1st edition (November 26, 2020)"
Exploratory Data Analysis (Classic Version) (Pearson Modern Classic),4.9,https://www.amazon.com/Exploratory-Data-Analysis-Classic-Version/dp/0134995457/ref=sr_1_101?keywords=data+analysis&qid=1671164651&sr=8-101,"Pearson; 1st edition (April 18, 2019)"
Kafka: The Definitive Guide: Real-Time Data and Stream Processing at Scale,4.8,https://www.amazon.com/Kafka-Definitive-Real-Time-Stream-Processing/dp/1492043087/ref=sr_1_100?keywords=data+analysis&qid=1671164651&sr=8-100,"O'Reilly Media; 2nd edition (November 30, 2021)"
An Introduction to Statistics and Data Analysis Using Stata: From Research Design to Final Report,4.6,https://www.amazon.com/Introduction-Statistics-Analysis-Using-Stata%C2%AE/dp/1506371833/ref=sr_1_98?keywords=data+analysis&qid=1671164651&sr=8-98,"SAGE Publications, Inc; 1st edition (January 29, 2019)"
"Microsoft 365 Excel: The Only App That Matters: Calculations, Analytics, Modeling, Data Analysis and Dashboard Reporting for the New Era of Dynamic Data Driven Decision Making & Insight",5.0,https://www.amazon.com/Microsoft-365-Excel-Calculations-Analytics/dp/1615470700/ref=sr_1_96?keywords=data+analysis&qid=1671164651&sr=8-96,"Holy Macro! Books (August 1, 2022)"
Naked Statistics: Stripping the Dread from the Data,4.6,https://www.amazon.com/Naked-Statistics-Stripping-Dread-Data/dp/039334777X/ref=sr_1_99?keywords=data+analysis&qid=1671164651&sr=8-99,"W. W. Norton & Company; 1st edition (January 13, 2014)"
Software Architecture: The Hard Parts: Modern Trade-Off Analyses for Distributed Architectures,4.6,https://www.amazon.com/Software-Architecture-Trade-Off-Distributed-Architectures/dp/1492086894/ref=sr_1_95?keywords=data+analysis&qid=1671164651&sr=8-95,"O'Reilly Media; 1st edition (November 30, 2021)"
Analyzing Social Networks Using R,5.0,https://www.amazon.com/Analyzing-Social-Networks-Using-R/dp/1529722470/ref=sr_1_97?keywords=data+analysis&qid=1671164651&sr=8-97,"SAGE Publications Ltd; 1st edition (July 20, 2022)"
"SQL: 3 books 1 - The Ultimate Beginner, Intermediate & Expert Guides To Master SQL Programming Quickly with Practical Exercises",4.6,https://www.amazon.com/SQL-Intermediate-Programming-Practical-Exercises/dp/B0B5MM3RMK/ref=sr_1_93?keywords=data+analysis&qid=1671164651&sr=8-93,"Independently published (July 10, 2022)"
"Data Analysis with Python: Introducing NumPy, Pandas, Matplotlib, and Essential Elements of Python Programming (English Edition)",3.0,https://www.amazon.com/Data-Analysis-Python-Introducing-Programming/dp/9355510659/ref=sr_1_91?keywords=data+analysis&qid=1671164651&sr=8-91,"BPB Publications (August 20, 2022)"
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",4.7,https://www.amazon.com/Intro-Python-Computer-Science-Data/dp/0135404673/ref=sr_1_90?keywords=data+analysis&qid=1671164651&sr=8-90,"Pearson; 1st edition (February 15, 2019)"
"Hands-On Data Analysis with Pandas: Efficiently perform data collection, wrangling, analysis, and visualization using Python",4.5,https://www.amazon.com/Hands-Data-Analysis-Pandas-visualization-ebook/dp/B07KJQN1CC/ref=sr_1_87?keywords=data+analysis&qid=1671164651&sr=8-87,"Packt Publishing; 1st edition (July 26, 2019)"
Thematic Analysis: A Practical Guide,4.9,https://www.amazon.com/Thematic-Analysis-Practical-Virginia-Braun/dp/1473953243/ref=sr_1_89?keywords=data+analysis&qid=1671164651&sr=8-89,"SAGE Publications Ltd; 1st edition (December 15, 2021)"
Statistics and Data Analysis for Financial Engineering: with R examples (Springer Texts in Statistics),4.3,https://www.amazon.com/Statistics-Data-Analysis-Financial-Engineering/dp/1493926136/ref=sr_1_88?keywords=data+analysis&qid=1671164651&sr=8-88,"Springer; 2nd ed. 2015 edition (April 22, 2015)"
"Automate the Boring Stuff with Python, 2nd Edition: Practical Programming for Total Beginners",4.7,https://www.amazon.com/Automate-Boring-Stuff-Python-2nd/dp/1593279922/ref=sr_1_86?keywords=data+analysis&qid=1671164651&sr=8-86,"No Starch Press; 2nd edition (November 12, 2019)"
Data Structures and Algorithm Analysis in Java: International Edition,4.4,https://www.amazon.com/Structures-Algorithm-Analysis-Java-Allen/dp/0273752111/ref=sr_1_85?keywords=data+analysis&qid=1671164651&sr=8-85,"Pearson Education; International ed of 3rd revised ed edition (January 1, 2012)"
Business Analysis For Dummies,4.4,https://www.amazon.com/Business-Analysis-Dummies-Kupe-Kupersmith/dp/1118510585/ref=sr_1_156?keywords=data+analysis&qid=1671164661&sr=8-156,"For Dummies; 1st edition (July 22, 2013)"
"Machine Learning Explained The Simple Way: A Beginners Guide to Learning Python for Data Science, Machine Learning and Ace your Data Science Interview With little Coding Experience.",5.0,https://www.amazon.com/Machine-Learning-Explained-Simple-Way/dp/B0BLBBNTV4/ref=sr_1_155?keywords=data+analysis&qid=1671164661&sr=8-155,"Independently published (October 31, 2022)"
CompTIA Data+ Study Guide: Exam DA0-001,4.6,https://www.amazon.com/CompTIA-Data-Study-Guide-DA0-001/dp/1119845254/ref=sr_1_154?keywords=data+analysis&qid=1671164661&sr=8-154,"Sybex; 1st edition (March 25, 2022)"
RNA Sequencing: Principles and Data Analysis,4.4,https://www.amazon.com/RNA-Sequencing-Principles-Data-Analysis/dp/B08HTM7TGX/ref=sr_1_153?keywords=data+analysis&qid=1671164661&sr=8-153,"Independently published (May 1, 2020)"
R For Dummies,4.4,https://www.amazon.com/R-Dummies-Andrie-Vries/dp/1119055806/ref=sr_1_152?keywords=data+analysis&qid=1671164661&sr=8-152,"For Dummies; 2nd edition (July 7, 2015)"
Excel Dashboards & Reports For Dummies (For Dummies (Computer/Tech)),4.4,https://www.amazon.com/Excel-Dashboards-Reports-Dummies-Computer/dp/1119844398/ref=sr_1_151?keywords=data+analysis&qid=1671164661&sr=8-151,"For Dummies; 4th edition (March 18, 2022)"
"Spectrum Grades 6-8 Data Analysis & Probability Workbook—6th-8th Grade State Standards for Calculating Statistics, Probabilities, and Graph Data for Homeschool or Classroom (128 pgs)",4.6,https://www.amazon.com/Probability-Workbook-6th-8th-Calculating-Statistics-Probabilities/dp/148381663X/ref=sr_1_149?keywords=data+analysis&qid=1671164661&sr=8-149,"Spectrum; Workbook edition (February 25, 2015)"
Decisions Over Decimals: Striking the Balance between Intuition and Information,4.9,https://www.amazon.com/Decisions-Over-Decimals-Intuition-Information/dp/111989848X/ref=sr_1_148?keywords=data+analysis&qid=1671164661&sr=8-148,"Wiley; 1st edition (October 4, 2022)"
Excel 2023: The Ultimate Guide For Beginners To Become An Excel Master To Organize And Boost Your Productivity| Learn in Less Than 10 Minutes per Day With Step-by-step Pictures Tutorials,4.7,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg2_1?ie=UTF8&adId=A0250567IU3R3YXU9TSI&qualifier=1671164651&id=8356854621227402&widgetName=sp_mtf&url=%2FExcel-2023-Productivity-Step-step%2Fdp%2FB0BM3TTQHD%2Fref%3Dsr_1_84_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164651%26sr%3D8-84-spons%26psc%3D1,"Independently published (November 14, 2022)"
Talent Intelligence: Use Business and People Data to Drive Organizational Performance,5.0,https://www.amazon.com/Talent-Intelligence-Business-Organizational-Performance/dp/1398607231/ref=sr_1_146?keywords=data+analysis&qid=1671164661&sr=8-146,"Kogan Page; 1st edition (October 25, 2022)"
Time Series: A Data Analysis Approach Using R (Chapman & Hall/CRC Texts in Statistical Science),4.1,https://www.amazon.com/Time-Analysis-Approach-Chapman-Statistical-ebook/dp/B07S1CN793/ref=sr_1_144?keywords=data+analysis&qid=1671164661&sr=8-144,"Chapman and Hall/CRC; 1st edition (May 17, 2019)"
Fundamentals of Music Processing: Using Python and Jupyter Notebooks,5.0,https://www.amazon.com/Fundamentals-Music-Processing-Jupyter-Notebooks/dp/3030698076/ref=sr_1_143?keywords=data+analysis&qid=1671164661&sr=8-143,"Springer; 2nd ed. 2021 edition (April 10, 2021)"
Statistics for the Trading Floor: Data Science for Investing (For The Trading Floor Series),4.3,https://www.amazon.com/Statistics-Trading-Floor-Science-Investing/dp/B088N8X379/ref=sr_1_142?keywords=data+analysis&qid=1671164661&sr=8-142,"Independently published (May 14, 2020)"
Data Science Foundations Tools and Techniques (Addison-Wesley Data & Analytics Series),4.4,https://www.amazon.com/Programming-Skills-Data-Science-Addison-Wesley-ebook/dp/B07KMDCHT2/ref=sr_1_138?keywords=data+analysis&qid=1671164661&sr=8-138,"Addison-Wesley Professional; 1st edition (November 23, 2018)"
An Introduction to Categorical Data Analysis,4.4,https://www.amazon.com/Introduction-Categorical-Data-Analysis/dp/0471226181/ref=sr_1_139?keywords=data+analysis&qid=1671164661&sr=8-139,"Wiley-Interscience; 2nd edition (March 23, 2007)"
Data-Driven Organization Design: Delivering Perpetual Performance Gains Through the Organizational System,5.0,https://www.amazon.com/Data-Driven-Organization-Design-Performance-Organizational/dp/1398603260/ref=sr_1_137?keywords=data+analysis&qid=1671164661&sr=8-137,"Kogan Page; 2nd edition (October 26, 2021)"
Supervised Machine Learning for Text Analysis in R (Chapman & Hall/CRC Data Science Series),4.5,https://www.amazon.com/Supervised-Machine-Learning-Analysis-Chapman/dp/0367554194/ref=sr_1_136?keywords=data+analysis&qid=1671164661&sr=8-136,"Chapman and Hall/CRC; 1st edition (October 22, 2021)"
Statistical Analysis with Excel For Dummies (For Dummies (Computer/Tech)),4.0,https://www.amazon.com/Statistical-Analysis-Excel-Dummies-Computer/dp/1119844541/ref=sr_1_135?keywords=data+analysis&qid=1671164661&sr=8-135,"For Dummies; 5th edition (December 30, 2021)"
Think Stats: Exploratory Data Analysis,4.2,https://www.amazon.com/Think-Stats-Exploratory-Data-Analysis/dp/1491907339/ref=sr_1_133?keywords=data+analysis&qid=1671164661&sr=8-133,"O'Reilly Media; 2nd edition (November 11, 2014)"
"Python: 3 books in 1- Your complete guide to python programming with Python for Beginners, Python Data Analysis and Python Machine Learning (Programming Languages for Beginners)",4.6,https://www.amazon.com/Python-programming-Beginners-Programming-Languages/dp/B09RLRHNGS/ref=sr_1_203?keywords=data+analysis&qid=1671164670&sr=8-203,"Independently published (February 4, 2022)"
"Statistical Analysis of fMRI Data, second edition (The MIT Press)",5.0,https://www.amazon.com/Statistical-Analysis-fMRI-Data-Press/dp/0262042681/ref=sr_1_200?keywords=data+analysis&qid=1671164670&sr=8-200,"The MIT Press; second edition (September 17, 2019)"
Time Series for Data Science: Analysis and Forecasting (Chapman & Hall/CRC Texts in Statistical Science),5.0,https://www.amazon.com/Time-Data-Science-Forecasting-Statistical-ebook/dp/B0B69TN4BH/ref=sr_1_202?keywords=data+analysis&qid=1671164670&sr=8-202,"Chapman and Hall/CRC; 1st edition (August 1, 2022)"
Categorical Data Analysis (Wiley Series in Probability and Statistics),4.4,https://www.amazon.com/Categorical-Analysis-Wiley-Probability-Statistics/dp/0471360937/ref=sr_1_198?keywords=data+analysis&qid=1671164670&sr=8-198,"Wiley-Interscience; 2nd edition (July 22, 2002)"
"Microsoft Office 365 For Beginners: The 1# Crash Course From Beginners To Advanced. Easy Way to Master The Whole Suite in no Time | Excel, Word, PowerPoint, OneNote, OneDrive, Outlook, Teams & Access",5.0,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A095594414G465SGQ2KVK&qualifier=1671164661&id=8763482864697680&widgetName=sp_mtf&url=%2FMicrosoft-Office-365-Beginners-PowerPoint%2Fdp%2FB0BGSNXP88%2Fref%3Dsr_1_131_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164661%26sr%3D8-131-spons%26psc%3D1,"Independently published (September 26, 2022)"
"Beginners Guide to Data Visualization: How to Understand, Design, and Optimize Over 40 Different Charts (All Things Data)",4.8,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg3_1?ie=UTF8&adId=A06123853IL9EXIIFPLEJ&qualifier=1671164661&id=8763482864697680&widgetName=sp_mtf&url=%2FBeginners-Guide-Data-Visualization-Understand%2Fdp%2F1777967163%2Fref%3Dsr_1_130_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164661%26sr%3D8-130-spons%26psc%3D1,"Kenneth M Fornari (October 11, 2022)"
Introduction to Machine Learning with R: Rigorous Mathematical Analysis,4.1,https://www.amazon.com/Introduction-Machine-Learning-Rigorous-Mathematical/dp/1491976446/ref=sr_1_197?keywords=data+analysis&qid=1671164670&sr=8-197,"O'Reilly Media; 1st edition (April 17, 2018)"
Statistical Analysis with R For Dummies (For Dummies (Computers)),4.6,https://www.amazon.com/Statistical-Analysis-Dummies-Computers/dp/1119337062/ref=sr_1_196?keywords=data+analysis&qid=1671164670&sr=8-196,"For Dummies; 1st edition (March 20, 2017)"
Hands-On Exploratory Data Analysis with R: Become an expert in exploratory data analysis using R packages,3.4,https://www.amazon.com/Hands-Exploratory-Data-Analysis-exploratory/dp/178980437X/ref=sr_1_194?keywords=data+analysis&qid=1671164670&sr=8-194,"Packt Publishing (May 31, 2019)"
Qualitative and Mixed Methods Data Analysis Using Dedoose: A Practical Approach for Research Across the Social Sciences,4.3,https://www.amazon.com/Qualitative-Mixed-Methods-Analysis-Dedoose/dp/1506397816/ref=sr_1_193?keywords=data+analysis&qid=1671164670&sr=8-193,"SAGE Publications, Inc; 1st edition (September 21, 2019)"
Qualitative Data Analysis with NVivo,4.6,https://www.amazon.com/Qualitative-Data-Analysis-with-NVivo/dp/1526449943/ref=sr_1_191?keywords=data+analysis&qid=1671164670&sr=8-191,"SAGE Publications Ltd; Third edition (May 31, 2019)"
"An Introduction to Categorical Data Analysis, 3rd Edition (Wiley Series in Probability and Statistics)",4.4,https://www.amazon.com/Introduction-Categorical-Analysis-Probability-Statistics/dp/1119405262/ref=sr_1_192?keywords=data+analysis&qid=1671164670&sr=8-192,"Wiley; 3rd edition (November 5, 2018)"
"Pharmacokinetic and Pharmacodynamic Data Analysis: Concepts and Applications, Second Edition",4.4,https://www.amazon.com/Pharmacokinetic-Pharmacodynamic-Data-Analysis-Applications/dp/9198299107/ref=sr_1_189?keywords=data+analysis&qid=1671164670&sr=8-189,"Swedish Pharmaceutical Press; 5th edition (January 26, 2017)"
"SQL Practice Problems: 57 beginning, intermediate, and advanced challenges for you to solve using a “learn-by-doing” approach",4.4,https://www.amazon.com/SQL-Practice-Problems-learn-doing/dp/1520807635/ref=sr_1_188?keywords=data+analysis&qid=1671164670&sr=8-188,"Independently published (March 13, 2017)"
R in Action: Data Analysis and Graphics with R,4.6,https://www.amazon.com/Action-Data-Analysis-Graphics/dp/1617291382/ref=sr_1_186?keywords=data+analysis&qid=1671164670&sr=8-186,"Manning; 2nd edition (June 6, 2015)"
Black Feminism in Qualitative Inquiry: A Mosaic for Writing Our Daughter's Body (Futures of Data Analysis in Qualitative Research),4.9,https://www.amazon.com/Feminism-Qualitative-Inquiry-Analysis-Research/dp/1138486221/ref=sr_1_185?keywords=data+analysis&qid=1671164670&sr=8-185,"Routledge; 1st edition (February 7, 2019)"
Machine Learning: A First Course for Engineers and Scientists,5.0,https://www.amazon.com/Machine-Learning-Course-Engineers-Scientists/dp/1108843603/ref=sr_1_181?keywords=data+analysis&qid=1671164670&sr=8-181,"Cambridge University Press; New edition (June 2, 2022)"
Python Data Analysis - Second Edition,3.9,https://www.amazon.com/Python-Data-Analysis-Armando-Fandango/dp/1787127486/ref=sr_1_251?keywords=data+analysis&qid=1671164678&sr=8-251,"Packt Publishing; 2nd Revised edition (March 27, 2017)"
Exploratory Data Analysis with MATLAB (Chapman & Hall/CRC Computer Science & Data Analysis),4.0,https://www.amazon.com/Exploratory-Analysis-Chapman-Computer-Science-ebook/dp/B074MVTKM9/ref=sr_1_249?keywords=data+analysis&qid=1671164678&sr=8-249,"Chapman and Hall/CRC; 3rd edition (August 7, 2017)"
Malware Data Science: Attack Detection and Attribution,4.6,https://www.amazon.com/Malware-Data-Science-Detection-Attribution/dp/1593278594/ref=sr_1_252?keywords=data+analysis&qid=1671164678&sr=8-252,"No Starch Press (September 25, 2018)"
"Econometric Analysis of Cross Section and Panel Data, second edition (The MIT Press)",4.5,https://www.amazon.com/Econometric-Analysis-Cross-Section-Panel/dp/0262232588/ref=sr_1_250?keywords=data+analysis&qid=1671164678&sr=8-250,"The MIT Press; second edition (October 1, 2010)"
